"TreatLab","_TreatLab","Estimate","NImputations","Label","DF","SE","Tvalue","Pvalue","EXP_Est","Low_95PCT","Upp_95PCT"
"100mg","300mg",-0.086622849923446,1000,"NM_Reg: Separate for each Treat.",711130.467277833,0.110200665606574,-0.786046522011922,0.431840494582199,0.917022885673217,0.738885319667428,1.13810756617405
"100mg","300mg",-0.0896660469126634,1000,"NM_Reg: Treat*OnOff BaseCount",694619.057844089,0.110712888528835,-0.809897096030604,0.41799959843043,0.914236446380771,0.735900986023791,1.1357890473922
"100mg","300mg",-0.0902801151607775,1000,"Repeat 4Season but no Quarter",706944.079705678,0.110675549634184,-0.81571869721163,0.414661317633178,0.913675215142557,0.735503060522201,1.13500873561708
"100mg","300mg",-0.086992548195335,1000,"Separate each Treat. Shared frai",666192.773996859,0.110844929196786,-0.784813061145039,0.432563460125595,0.916683926557261,0.737680103827498,1.13912442107147
"100mg","Placebo",-0.268929642369021,1000,"4 Seasons: Treat*OnOff BaseCount",84482.1930823787,0.112382853544396,-2.39297752181371,0.016714434539099,0.764197020848769,0.613117216486819,0.952504791857674
"100mg","Placebo",-0.231809629294574,1000,"Delta Active double rate off",55587.652972848,0.113924083622612,-2.03477282347491,0.041878472165306,0.793097091389037,0.634383516307697,0.991518506077739
"100mg","Placebo",-0.242089574870915,1000,"Fixed 0.01 active imputed",66774.75687171,0.112920919582776,-2.14388596697047,0.0320456249306611,0.784985859395481,0.629131789414253,0.979449472779895
"100mg","Placebo",-0.268171416871082,1000,"NM_Rand: Treat*OnOff BaseCount",97566.988510842,0.111917899514176,-2.39614412024517,0.0165704453455922,0.764776674241646,0.614141948924766,0.952358591508236
"100mg","Placebo",-0.265480514380116,1000,"NM_Reg: Separate for each Treat.",99010.3374416761,0.111384097006284,-2.38346874926982,0.0171522140685698,0.766837385041849,0.616441407319017,0.953926144668446
"100mg","Placebo",-0.266201818996874,1000,"NM_Reg: Treat*OnOff BaseCount",90330.4645744488,0.1122229160502,-2.37208075111678,0.0176903072399122,0.766284461132973,0.614984853491515,0.954807052629226
"100mg","Placebo",-0.267499723872713,1000,"Repeat 4Season but no Quarter",92611.5234794977,0.112110926598957,-2.38602723202541,0.0170334864068438,0.765290541940398,0.614322051763874,0.953359254973547
"100mg","Placebo",-0.267154709056023,1000,"Separate each Treat. Shared frai",78334.0177150494,0.112743236536903,-2.3695852386549,0.0178104588987209,0.765554624069944,0.613772582322347,0.954871395879774
"300mg","",-5.77048656837955,1000,"4 Seasons: Treat*OnOff BaseCount",1393038.35725667,0.0761049154747241,-75.8227840131567,0,0.00311823990804625,0.00268614125916997,0.00361984690527291
"300mg","",-5.74378008013019,1000,"Delta Active double rate off",205930.66642796,0.0775155689092742,-74.0984057906202,0,0.00320263913263461,0.00275122586813392,0.00372811899331243
"300mg","",-5.74921384633541,1000,"Fixed 0.01 active imputed",355714.43098254,0.0767301962036542,-74.9276573081617,0,0.0031852839350933,0.00274053319954693,0.00370221158015558
"300mg","",-5.77094805773753,1000,"NM_Rand: Treat*OnOff BaseCount",1597072.18053846,0.075983372523129,-75.9501436446622,0,0.00311680120551154,0.00268554163751563,0.00361731489058756
"300mg","",-5.77076545879246,1000,"NM_Reg: Separate for each Treat.",1410072.75181777,0.0757625965753394,-76.1690559675306,0,0.0031173703820876,0.00268719455237829,0.00361641031555238
"300mg","",-5.77015091695291,1000,"NM_Reg: Treat*OnOff BaseCount",1351083.45561895,0.0760943583913375,-75.8288924295572,0,0.00311928672539305,0.00268709860641554,0.00362098720604547
"300mg","",-5.7702858044684,1000,"Repeat 4Season but no Quarter",1200415.01015882,0.0761387406975304,-75.7864623397371,0,0.00311886600093243,0.00268650242662353,0.00362081382669653
"300mg","",-5.77099568366372,1000,"Separate each Treat. Shared frai",1360037.01598837,0.0761693973814421,-75.7652795224787,0,0.00311665276850215,0.00268443475666755,0.00361846174703479
"300mg","Placebo",-0.180971608588349,1000,"4 Seasons: Treat*OnOff BaseCount",88593.406324718,0.107717408645534,-1.68005906254088,0.092949350495463,0.834459049829866,0.675638753265515,1.03061273865284
"300mg","Placebo",-0.150115284299932,1000,"Delta Active double rate off",70827.9437295233,0.108552964139376,-1.38287595820223,0.166707262768472,0.860608756027936,0.695670729561078,1.06465228373091
"300mg","Placebo",-0.158901416972233,1000,"Fixed 0.01 active imputed",81507.6416429709,0.107812013579432,-1.47387486511566,0.140519148300528,0.85308045407798,0.690587759523615,1.05380706665277
"300mg","Placebo",-0.178133871171034,1000,"NM_Rand: Treat*OnOff BaseCount",110148.657049156,0.107019622296877,-1.66449728888861,0.0960159366720745,0.83683038852574,0.678486442544608,1.03212835990323
"300mg","Placebo",-0.17885766445667,1000,"NM_Reg: Separate for each Treat.",110067.062159389,0.106567543627184,-1.67835025908438,0.093281580703281,0.836224915454415,0.67859655127812,1.03046811527362
"300mg","Placebo",-0.176535772084211,1000,"NM_Reg: Treat*OnOff BaseCount",101579.477820033,0.107319589607242,-1.64495384980766,0.0999824227830475,0.838168795574162,0.679172041362284,1.03438729377775
"300mg","Placebo",-0.177219608711935,1000,"Repeat 4Season but no Quarter",95280.0800447508,0.107472509740236,-1.64897618135354,0.0991558111978743,0.837595820984367,0.678504251973403,1.03399021787998
"300mg","Placebo",-0.180162160860688,1000,"Separate each Treat. Shared frai",89370.1342685756,0.107759721461429,-1.67188777418263,0.0945499547786703,0.835134774256482,0.676129810262868,1.03153282193144
"Placebo","",-5.5895149597912,1000,"4 Seasons: Treat*OnOff BaseCount",30889.7009980426,0.0785708136138142,-71.1398380989714,0,0.00373683994281326,0.00320348192542678,0.00435899845332959
"Placebo","",-5.59366479583025,1000,"Delta Active double rate off",34991.1205678823,0.0785133845234934,-71.2447289055088,0,0.00372136480160405,0.00319057692308833,0.00434045513411813
"Placebo","",-5.59031242936318,1000,"Fixed 0.01 active imputed",38174.74449925,0.0778337039845441,-71.8238005282812,0,0.00373386111458383,0.00320555985254821,0.00434923054452358
"Placebo","",-5.5928141865665,1000,"NM_Rand: Treat*OnOff BaseCount",36675.8677421332,0.0778789541563283,-71.8141922571265,0,0.00372453157563082,0.00319726612776424,0.00433874907609627
"Placebo","",-5.59190779433579,1000,"NM_Reg: Separate for each Treat.",40488.4718509565,0.0771817874076717,-72.451131052453,0,0.003727908992515,0.00320454283416623,0.00433675134821221
"Placebo","",-5.5936151448687,1000,"NM_Reg: Treat*OnOff BaseCount",35132.7711108806,0.0781163009329301,-71.6062470709069,0,0.00372154957553179,0.00319321971507489,0.00433729354035886
"Placebo","",-5.59306619575646,1000,"Repeat 4Season but no Quarter",34007.6706054665,0.0782059495297803,-71.517144531653,0,0.00372359307770551,0.00319441120087862,0.00434043851477943
"Placebo","",-5.59083352280301,1000,"Separate each Treat. Shared frai",32682.647016035,0.07840866399853,-71.3037722834792,0,0.00373191593090701,0.00320027872368104,0.00435186985817852
